FIPS,County,State,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018
1001,Autauga County, Alabama,"54,713","54,876","54,838","55,242","55,443","55,601"
1003,Baldwin County, Alabama,"194,886","199,189","202,995","207,712","212,619","218,022"
1005,Barbour County, Alabama,"26,944","26,758","26,294","25,819","25,158","24,881"
1007,Bibb County, Alabama,"22,516","22,541","22,562","22,576","22,555","22,400"
1009,Blount County, Alabama,"57,611","57,521","57,522","57,517","57,827","57,840"
1011,Bullock County, Alabama,"10,551","10,665","10,400","10,381","10,176","10,138"
1013,Butler County, Alabama,"20,374","20,343","20,176","20,029","19,898","19,680"
1015,Calhoun County, Alabama,"116,541","115,995","115,536","115,018","114,664","114,277"
1017,Chambers County, Alabama,"34,143","33,980","34,007","33,771","33,758","33,615"
1019,Cherokee County, Alabama,"26,025","25,902","25,739","25,776","25,815","26,032"
1021,Chilton County, Alabama,"43,634","43,769","43,717","43,896","44,117","44,153"
1023,Choctaw County, Alabama,"13,396","13,317","13,233","13,049","12,935","12,841"
1025,Clarke County, Alabama,"25,122","24,865","24,703","24,349","24,097","23,920"
1027,Clay County, Alabama,"13,404","13,440","13,413","13,393","13,367","13,275"
1029,Cleburne County, Alabama,"14,976","15,025","14,917","14,853","14,906","14,987"
1031,Coffee County, Alabama,"50,677","50,655","50,952","51,145","51,777","51,909"
1033,Colbert County, Alabama,"54,533","54,468","54,370","54,367","54,509","54,762"
1035,Conecuh County, Alabama,"12,911","12,679","12,680","12,501","12,435","12,277"
1037,Coosa County, Alabama,"11,256","11,038","10,938","10,826","10,757","10,715"
1039,Covington County, Alabama,"37,812","37,756","37,551","37,382","37,078","36,986"
1041,Crenshaw County, Alabama,"13,854","13,859","13,857","13,922","13,861","13,824"
1043,Cullman County, Alabama,"80,688","81,067","81,764","82,456","82,836","83,442"
1045,Dale County, Alabama,"49,772","49,417","49,349","49,301","49,254","48,956"
1047,Dallas County, Alabama,"41,983","41,562","40,948","40,092","39,235","38,310"
1049,DeKalb County, Alabama,"70,911","70,999","71,112","71,101","71,404","71,385"
1051,Elmore County, Alabama,"80,569","80,568","80,924","81,263","81,416","81,887"
1053,Escambia County, Alabama,"37,763","37,738","37,665","37,488","36,999","36,748"
1055,Etowah County, Alabama,"103,883","103,407","103,003","102,849","102,937","102,501"
1057,Fayette County, Alabama,"16,819","16,768","16,693","16,555","16,474","16,433"
1059,Franklin County, Alabama,"31,552","31,561","31,541","31,654","31,590","31,363"
1061,Geneva County, Alabama,"26,682","26,597","26,636","26,498","26,410","26,314"
1063,Greene County, Alabama,"8,749","8,585","8,509","8,483","8,318","8,233"
1065,Hale County, Alabama,"15,247","15,047","15,018","14,835","14,809","14,726"
1067,Henry County, Alabama,"17,132","17,082","17,106","17,083","17,140","17,209"
1069,Houston County, Alabama,"103,638","104,156","104,268","104,239","104,373","104,722"
1071,Jackson County, Alabama,"52,958","52,562","52,218","52,048","51,907","51,736"
1073,Jefferson County, Alabama,"659,196","659,918","660,370","660,326","659,546","659,300"
1075,Lamar County, Alabama,"14,210","14,067","13,925","13,927","13,902","13,844"
1077,Lauderdale County, Alabama,"92,706","93,013","92,477","92,457","92,591","92,387"
1079,Lawrence County, Alabama,"33,577","33,448","33,138","33,233","33,077","32,957"
1081,Lee County, Alabama,"151,831","154,545","157,009","159,297","161,641","163,941"
1083,Limestone County, Alabama,"88,910","90,596","91,571","92,841","94,076","96,174"
1085,Lowndes County, Alabama,"10,665","10,498","10,353","10,253","10,104","9,974"
1087,Macon County, Alabama,"20,026","19,648","19,306","19,064","18,811","18,439"
